col0,col1,col2,col3
Chapel of Saint Anne,Rosovice,Saint Anne,Czech Republic
Chapel of Saint Anne,Práče,Saint Anne,Czech Republic
Chapel of the Holy Trinity near Sušice,Sušice,Trinity,Czech Republic
Kaple svatého Václava a Panny Marie,Stará Hlína,Virgin Mary,Czech Republic
Chapel of Virgin Mary,Občov,Virgin Mary,Czech Republic
Chapel of Our Lady of Sepekov,Milevsko,Virgin Mary,Czech Republic
Chapel of Saints Cyril and Methodius,Štěpánovice,Saints Cyril and Methodius,Czech Republic
Chapel of John of Nepomuk,České Budějovice 2,John of Nepomuk,Czech Republic
Chapel of Saint John of Nepomuk,Dolní Pěna,John of Nepomuk,Czech Republic
Chapel of Saint John of Nepomuk,Žabovřesky,John of Nepomuk,Czech Republic
"Saints Roch and Sebastian Chapel, Paks",Paks,Saint Roch,Hungary
Chapel of Saint John of Nepomuk,Černíkovice,John of Nepomuk,Czech Republic
Chapel of Saint Wenceslaus,Velký Šenov,"Saint Wenceslaus I, Duke of Bohemia",Czech Republic
