col0,col1,col2,col3,col4,col5
Lampas with scrolling vines and grape leaves,public domain,Cleveland Museum of Art Open Access project,silk,item of collection or exhibition,Cleveland Museum of Art
Parrots and Animals,public domain,Cleveland Museum of Art Open Access project,silk,item of collection or exhibition,Cleveland Museum of Art
Fragment with musicians,public domain,Cleveland Museum of Art Open Access project,silk,item of collection or exhibition,Cleveland Museum of Art
Silk Textile,copyrighted,Cleveland Museum of Art Open Access project,silk,item of collection or exhibition,Cleveland Museum of Art
Cloth of Gold: Displayed Falcons,public domain,Cleveland Museum of Art Open Access project,gold thread,item of collection or exhibition,Cleveland Museum of Art
Silk Fragment,public domain,Cleveland Museum of Art Open Access project,silk,fragment,Cleveland Museum of Art
Chasuble Fragment with Realistic Animals,public domain,Cleveland Museum of Art Open Access project,silk,fragment,Cleveland Museum of Art
Mantle for a Statue of the Virgin with Lotus Blossoms and Medallions,public domain,Cleveland Museum of Art Open Access project,silk,mantle,Cleveland Museum of Art
Cloth of gold with felines and eagles,public domain,Cleveland Museum of Art Open Access project,silk,cloth of gold,Cleveland Museum of Art
Silk Fragment,public domain,Cleveland Museum of Art Open Access project,silk,lampas,Cleveland Museum of Art
Chasuble Fragment with Realistic Animals,public domain,Cleveland Museum of Art Open Access project,silk,lampas,Cleveland Museum of Art
Cloth of gold with felines and eagles,public domain,Cleveland Museum of Art Open Access project,silk,lampas,Cleveland Museum of Art
Textile with Phoenixes and Dragons,public domain,Cleveland Museum of Art Open Access project,silk,lampas,Cleveland Museum of Art
