col0,col1,col2,col3
A Matter of Loaf and Death,Nick Park,clay animation film,2008-01-01
Closed Mondays,Bob Gardiner,clay animation film,1974-01-01
A Close Shave,Nick Park,clay animation film,1995-12-24
Adam,Peter Lord,clay animation film,1991-01-01
Wallace & Gromit: The Curse of the Were-Rabbit,Nick Park,clay animation film,2005-10-07
Chicken Run,Nick Park,clay animation film,2000-06-21
Closed Mondays,Bob Gardiner,stop-motion animated film,1974-01-01
Break,Garri Bardin,animated short film,1985-01-01
The Wrong Trousers,Nick Park,animated short film,1993-12-26
A Grand Day Out,Nick Park,animated short film,1989-01-01
