col0,col1,col2,col3
Christiansmøllen,Svendborg,Svendborg Municipality,smock mill
Stegø Mølle,Funen,Nordfyn Municipality,smock mill
Skenkelsø Mølle,Zealand,Egedal Municipality,smock mill
Sillerup Windmill,Southern Jutland,Haderslev Municipality,smock mill
Melby Windmill,Zealand,Halsnæs Municipality,smock mill
Kolby Mølle,Samsø,Samsø Municipality,smock mill
Højer Mølle,Southern Jutland,Tønder Municipality,smock mill
Bogø Mølle,Bogø,Vordingborg Municipality,smock mill
Agersø Mill,Agersø,Slagelse Municipality,smock mill
Ramløse Mølle,Ramløse,Gribskov Municipality,smock mill
