col0,col1,col2,col3,col4,col5
2006 World Rowing Junior Championships – Junior women's double scull,junior women's double scull,rowing,2007 World Rowing Junior Championships – Junior women's double scull,2006-01-01,2000
2006 World Rowing Junior Championships – Junior women's single scull,junior women's single scull,rowing,2007 World Rowing Junior Championships – Junior women's single scull,2006-01-01,2000
2005 World Rowing Junior Championships – Junior men's eight,junior men's eight,rowing,2006 World Rowing Junior Championships – Junior men's eight,2005-01-01,2000
2005 World Rowing Junior Championships – Junior men's coxed four,junior men's coxed four,rowing,2006 World Rowing Junior Championships – Junior men's coxed four,2005-01-01,2000
2005 World Rowing Junior Championships – Junior men's coxless four,junior men's coxless four,rowing,2006 World Rowing Junior Championships – Junior men's coxless four,2005-01-01,2000
2005 World Rowing Junior Championships – Junior men's coxless pair,junior men's coxless pair,rowing,2006 World Rowing Junior Championships – Junior men's coxless pair,2005-01-01,2000
2005 World Rowing Junior Championships – Junior men's quad scull,junior men's quad scull,rowing,2006 World Rowing Junior Championships – Junior men's quad scull,2005-01-01,2000
2005 World Rowing Junior Championships – Junior men's double scull,junior men's double scull,rowing,2006 World Rowing Junior Championships – Junior men's double scull,2005-01-01,2000
2005 World Rowing Junior Championships – Junior men's single scull,junior men's single scull,rowing,2006 World Rowing Junior Championships – Junior men's single scull,2005-01-01,2000
2005 World Rowing Junior Championships – Junior women's eight,junior women's eight,rowing,2006 World Rowing Junior Championships – Junior women's eight,2005-01-01,2000
2005 World Rowing Junior Championships – Junior women's coxless four,junior women's coxless four,rowing,2006 World Rowing Junior Championships – Junior women's coxless four,2005-01-01,2000
