col0,col1,col2,col3
Samlede digte,Denmark,written work,Aschehoug
Manpareka Kehi Kavita,Nepal,translation,Shikha Books
Whitsongs,Finland,poetry collection,Otava
Manpareka Kehi Kavita,Nepal,poetry collection,Shikha Books
Life on Mars,United States of America,poetry collection,Graywolf Press
Poems,United Kingdom of Great Britain and Ireland,poetry collection,Edward Moxon
"Dansk lyrik, second part",Denmark,poetry collection,Gyldendal
Digte,Denmark,poetry collection,Gyldendal
100 Danish Poems,Denmark,poetry collection,Museum Tusculanum Press
Samlede digte,Denmark,poetry collection,Aschehoug
Samlede Digte,Denmark,poetry collection,Gyldendal
Yahya Hassan,Denmark,poetry collection,Gyldendal
Merch Perygl - Cerddi Menna Elfyn 1976-2011,Wales,poetry collection,Gomer Press
Els fruits saborosos,Spain,poetry collection,Edicions 62
Soledades. Galerías. Otros poemas,Spain,poetry collection,Gregorio Pueyo
